image_id,question,answers
17,Is this a room for a boy or girl?,"['girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl', 'girl']"
18,这片沙漠最早是在哪一年被介绍的？,"['1847', '1847', '1847', '1847', '1860', '1860', '1934', '1934', '20世纪初期', '20世纪初']"
18,In what year was this desert first introduced?,"['1847', '1847', '1847', '1847', '1860', '1860', '1934', '1934', '1900s', '1900s']"
19,这个冲浪技巧叫什么？,"['骑行', '骑行', '骑行', '骑行', '地铁之旅', '地铁之旅', '奥利', '奥利', '波浪滑行者', '水上摩托']"
19,What is this surf trick called?,"['riding', 'riding', 'riding', 'riding', 'tube ride', 'tube ride', 'ollie', 'ollie', 'wave runner', 'wave runner']"
20,他们把单次击球后跑垒一圈叫什么？,"['全垒打', '全垒打', '全垒打', '全垒打', '全垒打', '全垒打', '全垒打', '全垒打', '全垒打', '全垒打']"
20,What do they call running around the bases on a single hit?,"['homerun', 'homerun', 'homerun', 'homerun', 'homerun', 'homerun', 'home run', 'home run', 'home run', 'home run']"
21,为什么这个插着电？,"['充电', '充电', '充电', '充电', '拥有权力并工作', '拥有权力并工作', '权力', '权力', '出口', '出口']"
21,Why is this plugged in?,"['charging', 'charging', 'charging', 'charging', 'to have power and work', 'to have power and work', 'power', 'power', 'outlet', 'outlet']"
22,这是什么形状？,"['圆圈', '圆圈', '圆圈', '圆圈', '圆', '圆圈', '圆形', '圆形', '圆', '圆形']"
22,What is the shape?,"['circle', 'circle', 'circle', 'circle', 'circle', 'circle', 'round', 'round', 'round', 'round']"
23,这辆拉货的卡车的马力是多少？,"['510', '510', '510', '510', '510', '510', '420', '420', '500', '500']"
23,What is the horsepower of the truck pulling the load?,"['510', '510', '510', '510', '510', '510', '420', '420', '500', '500']"
24,这个人正在进行哪种滑雪？,"['越野', '越野', '越野', '越野', '越野', '越野', '越野', '越野赛', '越野', '越野赛跑']"
24,What kind of skiing is this person engaged in?,"['cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country']"
25,照片里的人穿着什么？,"['潜水服', '潜水服', '潜水服', '潜水服', '西装', '西装', '潜水服', '潜水服', '躯干', '躯干']"
25,What is the person in the photo wearing?,"['wetsuit', 'wetsuit', 'wetsuit', 'wetsuit', 'suit', 'suit', 'wet suit', 'wet suit', 'trunks', 'trunks']"
26,他所在的董事会叫什么名字？,"['冲浪板', '冲浪板', '冲浪板', '冲浪板', '冲浪板', '冲浪板', '冲浪板', '冲浪板', '冲浪', '冲浪']"
26,What is the name of the board he is on?,"['surf board', 'surf board', 'surf board', 'surf board', 'surfboard', 'surfboard', 'surfboard', 'surfboard', 'surf', 'surf']"
27,说出这张图片中所示汽车座椅所用的材料？,"['布料', '布料', '布料', '布料', '尼龙', '尼龙', '聚酯', '聚酯', '皮革', '皮革']"
27,Name the material used to make this car seat shown in this picture?,"['cloth', 'cloth', 'cloth', 'cloth', 'nylon', 'nylon', 'polyester', 'polyester', 'leather', 'leather']"
28,牙刷在脸的哪个部位？,"['口', '口', '口', '口', '口', '口', '口', '口', '快乐', '快乐']"
28,What part of the face is the toothbrush in?,"['mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'mouth', 'happy', 'happy']"
29,这个糕点是什么口味的？,"['蓝莓', '蓝莓', '蓝莓', '蓝莓', '奶油芝士', '奶油芝士', '巧克力', '巧克力', '草莓', '草莓']"
29,What flavor is this pastry?,"['blueberry', 'blueberry', 'blueberry', 'blueberry', 'cream cheese', 'cream cheese', 'chocolate', 'chocolate', 'strawberry', 'strawberry']"
30,花放在什么样的容器里？,"['花瓶', '花瓶', '花瓶', '花瓶', '花瓶', '花瓶', '手推车', '手推车', '锅', '锅']"
30,What kind of container are the flowers in?,"['vase', 'vase', 'vase', 'vase', 'vase', 'vase', 'trolley', 'trolley', 'pots', 'pots']"
31,这看起来是哪个国家？,"['苏格兰', '苏格兰', '苏格兰', '苏格兰', '苏格兰', '苏格兰', '美国', '美国', '英格兰', '英格兰']"
31,What country does this appear to be?,"['scotland', 'scotland', 'scotland', 'scotland', 'scotland', 'scotland', 'usa', 'usa', 'england', 'england']"
32,图片中的哪种食物在你感冒时最适合食用？,"['汤', '汤', '汤', '汤', '汤', '汤', '鸡汤', '鸡汤', '水果', '水果']"
32,Which of the foods in the picture is best for you to eat when you have a cold?,"['soup', 'soup', 'soup', 'soup', 'soup', 'soup', 'chicken soup', 'chicken soup', 'fruit', 'fruit']"
33,青少年恶作剧者对这种动物做了什么？,"['提示', '提示', '提示', '提示', '提示', '小费', '提示', '提示', '小费', '小费']"
33,What do teenage pranksters do to this animal?,"['tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tip', 'tipping', 'tipping']"
34,那个微波炉是多少瓦的？,"['800', '800', '800', '800', '120', '120', '1000', '1000', '100', '100']"
34,How many watts is that microwave?,"['800', '800', '800', '800', '120', '120', '1000', '1000', '100', '100']"
35,这种毯子叫什么？,"['被子', '被子', '被子', '被子', '被子', '被子', '被子', '被子', '拼凑物', '拼凑物']"
35,What is this type of blanket called?,"['quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'quilt', 'patchwork', 'patchwork']"
36,哪个南美国家通常拥有这样的气候？,"['巴西', '巴西', '巴西', '巴西', '巴西', '巴西', '非洲', '非洲', '厄瓜多尔', '厄瓜多尔']"
36,What south american country usually has this climate?,"['brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'brazil', 'africa', 'africa', 'ecuador', 'ecuador']"
37,哪家美国餐厅拥有这样的开放式厨房，可以看到烹饪区域？,"['餐馆', '餐车式餐馆', '餐车餐馆', '餐馆', '小餐馆', '餐馆', '丹尼餐厅', '丹尼餐厅', '华夫饼屋', '华夫屋']"
37,What american restaurant features an open kitchen with visible cooking area such as this?,"['diner', 'diner', 'diner', 'diner', 'diner', 'diner', ""denny's"", ""denny's"", 'waffle house', 'waffle house']"
38,哪种其他大型车辆通常被涂成与这辆车相近的颜色？,"['消防车', '消防车', '消防车', '消防车', '消防车', '消防车', '消防车', '消防车', '消防车', '消防车']"
38,What other big vehicle is often painted about the same shade as this vehicle?,"['firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetruck', 'firetrucks', 'firetrucks', 'fire truck', 'fire truck']"
39,这是什么牌子的葡萄酒？,"['贝克尔酒庄', '贝克尔酒庄', '贝克尔葡萄园', '贝克尔葡萄园', '贝克尔葡萄园', '贝克尔葡萄园', '贝克尔葡萄园', '贝克尔葡萄园', '贝克尔', '贝克尔']"
39,What brand is this wine?,"['becker vineyards', 'becker vineyards', 'becker vineyards', 'becker vineyards', 'becker vineyard', 'becker vineyard', 'becker vineyard', 'becker vineyard', 'becker', 'becker']"
40,如果这些物品掉到地上会发生什么？,"['破碎', '破碎', '粉碎', '破碎', '它们会碎裂', '它们会破碎', '打破', '打破', '他们会打破', '他们会打破']"
40,What would happen if these items fall to the ground?,"['shatter', 'shatter', 'shatter', 'shatter', 'they would shatter', 'they would shatter', 'break', 'break', 'they would break', 'they would break']"
41,图片中的男士穿的是什么牌子的西装？,"['布鲁克斯兄弟', '布鲁克斯兄弟', '布克兄弟', '布鲁克斯兄弟', '乔治·阿玛尼', '乔治·阿玛尼', '名牌', '名牌', '古驰', '古驰']"
41,What brand of suit is the man in the image wearing?,"['brooks brothers', 'brooks brothers', 'brooks brothers', 'brooks brothers', 'gorgio armani', 'gorgio armani', 'name brand', 'name brand', 'gucchi', 'gucchi']"
42,我在哪里可以买到一幅与这张照片相似的印刷品？,"['画廊', '画廊', '画廊', '画廊', '商店', '商店', '目标', '目标', '沃尔玛', '沃尔玛']"
42,Where might i buy a print that resembles this photo?,"['gallery', 'gallery', 'gallery', 'gallery', 'store', 'store', 'target', 'target', 'walmart', 'walmart']"
43,卷状黑色食品叫什么？,"['寿司', '寿司', '寿司', '寿司', '寿司', '寿司', '寿司', '寿司', '寿司', '寿司']"
43,What are the rolled black food items called?,"['sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi', 'sushi']"
44,这是什么类型的鸟？,"['蓝松鸦', '蓝松鸦', '蓝松鸦', '蓝松鸦', '蓝鸟', '蓝鸟', '鸣禽', '鸣禽', '金翅雀', '金翅雀']"
44,What type of bird is this?,"['blue jay', 'blue jay', 'blue jay', 'blue jay', 'bluebird', 'bluebird', 'songbird', 'songbird', 'goldfinch', 'goldfinch']"
45,你怎么知道这些人没有生气？,"['他们在微笑', '他们在微笑', '他们在微笑', '他们正在微笑', '微笑', '微笑', '微笑', '微笑', '微笑', '微笑']"
45,How can you tell that the people are not upset?,"['they are smiling', 'they are smiling', 'they are smiling', 'they are smiling', 'smiles', 'smiles', 'smiles', 'smiles', 'smiling', 'smiling']"
46,这辆图片中的车辆能达到多快的速度？,"['80英里每小时', '80英里每小时', '80英里每小时', '80英里/小时', '100英里/小时', '100英里每小时', '100英里每小时', '100英里每小时', '10英里/小时', '10英里每小时']"
46,How fast is the vehicle pictured capable of reaching?,"['80 mph', '80 mph', '80 mph', '80 mph', '100 mph', '100 mph', '100 mph', '100 mph', '10mph', '10mph']"
47,说出这个男人戴的帽子的类型？,"['牛仔', '牛仔', '牛仔', '牛仔', '墨西哥帽', '墨西哥帽', '墨西哥帽', '墨西哥帽', '斯泰森帽', '斯特森帽']"
47,Name the type of hat the man is wearing?,"['cowboy', 'cowboy', 'cowboy', 'cowboy', 'sombrero', 'sombrero', 'sombrero', 'sombrero', 'stetson', 'stetson']"
48,这些是在哪些州种植的？,"['佛罗里达 加利福尼亚', '佛罗里达 加利福尼亚', '佛罗里达 加利福尼亚', '佛罗里达 加利福尼亚', '加利福尼亚', '加利福尼亚', '加利福尼亚', '加利福尼亚', '佛罗里达', '佛罗里达']"
48,What sates are these grown in?,"['florida california', 'florida california', 'florida california', 'florida california', 'california', 'california', 'california', 'california', 'florida', 'florida']"
49,面包味道怎么样？,"['好的', '好的', '好的', '好的', '像面包', '像面包', '甜的', '甜的', '美味', '美味']"
49,How does the bread taste?,"['good', 'good', 'good', 'good', 'like bread', 'like bread', 'sweet', 'sweet', 'delicious', 'delicious']"
50,这种类型的麦克卡车是用来做什么的？,"['水泥', '水泥', '水泥', '水泥', '水泥', '水泥', '水泥', '水泥', '道路施工', '道路施工']"
50,What is this type of mack truck used for?,"['cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'cement', 'road work', 'road work']"
51,这种车辆应该放在哪种类型的平台上？,"['轨道', '轨道', '轨道', '轨道', '轨道', '轨道', '铁路', '铁路', '轨道', '轨道']"
51,What type of platform should this vehicle be on?,"['tracks', 'tracks', 'tracks', 'tracks', 'tracks', 'tracks', 'railroad', 'railroad', 'rails', 'rails']"
52,这张照片中使用的特效术语是什么？,"['鱼眼', '鱼眼', '鱼眼', '鱼眼', '反射', '反射', '缩放', '缩放', '广角', '广角']"
52,What is the term for the effect used in this photo?,"['fisheye', 'fisheye', 'fisheye', 'fisheye', 'reflection', 'reflection', 'zoom', 'zoom', 'wide angle', 'wide angle']"
53,那个像小白色户外房子的建筑叫什么？,"['凉亭', '凉亭', '凉亭', '凉亭', '凉亭', '凉亭', '棚屋', '棚屋', '卡西达', '卡西达']"
53,What is the small white outdoor house like building called?,"['gazebo', 'gazebo', 'gazebo', 'gazebo', 'gazebo', 'gazebo', 'shed', 'shed', 'casida', 'casida']"
54,这个女人可以用这个玩具做什么？,"['扔掉它', '扔掉它', '扔掉它', '扔掉它', '扔掉它', '扔掉它', '扔掉它', '扔掉它', '投掷', '抛掷']"
54,What can the woman do with this toy?,"['throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw it', 'throw', 'throw']"
55,这个男孩是职业选手还是仍在读高中？,"['高中', '高中', '高中', '高中', '高中', '高中', '高中', '高中', '学校', '学校']"
55,Is this boy a professional player or still in high school?,"['high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'high school', 'school', 'school']"
56,地板上的装饰布叫什么？,"['地毯', '地毯', '地毯', '地毯', '地毯', '地毯', '地毯', '地毯', '地毯', '地毯']"
56,What is the decorative fabric on the floor called?,"['rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'rug', 'carpet', 'carpet']"
57,这是在家庭厨房还是商业厨房？,"['商业的', '商业的', '商业的', '商业的', '商业', '商业的', '商业的', '商业的', '商业的', '商业的']"
57,Is this in a home kitchen or commercial kitchen?,"['commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial', 'commercial']"
58,图片中这位运动员使用的是哪种类型的头盔？,"['击球手', '击球手', '击球手', '击球手', '击球头盔', '击球头盔', '击球头盔', '击球头盔', '击球员头盔', '击球员头盔']"
58,Which type of helmet is used by the sport person shown in this picture?,"['batters', 'batters', 'batters', 'batters', 'batting helmet', 'batting helmet', 'batting helmet', 'batting helmet', 'batters helmet', 'batters helmet']"
59,这张图片中展示的是哪个品牌的拖鞋？,"['勃肯stock', '勃肯鞋', '勃肯鞋', '勃肯鞋', '勃肯鞋', '勃肯鞋', '阿迪达斯', '阿迪达斯', '凉鞋', '凉鞋']"
59,Which brand of slipper is shown in this picture?,"['birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'birkenstock', 'adidas', 'adidas', 'sandal', 'sandal']"
60,谁导演了图片中电视上播放的2012年电影？,"['乔斯·韦登', '乔斯·韦登', '乔斯·韦登', '乔斯·韦登', '乔斯·韦登', '乔斯·韦登', '乔斯·韦登', '乔斯·韦登', '甘恩', '甘恩']"
60,Who directed the 2012 movie shown on the television in the picture?,"['joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss whedon', 'joss wedon', 'joss wedon', 'gunn', 'gunn']"
61,现在是白天还是晚上？,"['中午', '中午', '中午', '中午', '下午', '下午', '夜晚', '夜晚', '午餐', '午餐']"
61,What time of day is it?,"['noon', 'noon', 'noon', 'noon', 'afternoon', 'afternoon', 'night', 'night', 'lunch', 'lunch']"
62,这个浴室是高端还是低端？,"['高', '高', '高', '高', '高', '高', '高端', '高端', '高端', '高端']"
62,Is this bathroom high or low end?,"['high', 'high', 'high', 'high', 'high', 'high', 'high end', 'high end', 'high end', 'high end']"
63,说出一个名人，他也有一张这样的黑白照片？,"['泰勒·斯威夫特', '泰勒·斯威夫特', '泰勒·斯威夫特', '泰勒·斯威夫特', '拉塞尔·布兰德', '拉塞尔·布兰德', '希拉里·克林顿', '希拉里·克林顿', '欧内斯特·海明威', '欧内斯特·海明威']"
63,Name one famous person whom also has a black and white one of these?,"['taylor swift', 'taylor swift', 'taylor swift', 'taylor swift', 'russell brand', 'russell brand', 'hillary clinton', 'hillary clinton', 'ernest hemingway', 'ernest hemingway']"
64,这个房间里通常用来洗手的物品是什么？,"['水槽', '水槽', '水槽', '水槽', '水槽', '水槽', '水槽', '水槽', '水槽', '水槽']"
64,Which item in this room is usually to wash hands?,"['sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink', 'sink']"
65,这个动物头上白色的东西叫什么？,"['角', '角', '角', '角', '角', '角', '霍恩斯', '霍恩斯', '象牙', '象牙']"
65,What are the white objects on this animals head called?,"['horns', 'horns', 'horns', 'horns', 'horns', 'horns', 'hornes', 'hornes', 'tusk', 'tusk']"
66,哪家航空公司有这个徽章？,"['科威特航空', '科威特航空', '科威特航空', '科威特航空', '联合', '联合', '三角洲', '三角洲', '双轮马车', '双无线接入']"
66,Which airline has this insignia?,"['kuwait airways', 'kuwait airways', 'kuwait airways', 'kuwait airways', 'united', 'united', 'delta', 'delta', 'twa', 'twa']"
67,这些标志上的可乐品牌是什么时候创立的？,"['1892', '1892', '1892', '1892', '1851', '1851', '19世纪70年代', '19世纪70年代', '1800', '1800']"
67,When was the cola brand on the signs founded?,"['1892', '1892', '1892', '1892', '1851', '1851', ""1870's"", ""1870's"", '1800', '1800']"
68,这位先生戴的是什么类型的帽子？,"['顶部', '顶', '顶部', '顶部', '高顶礼帽', '高顶礼帽', '高顶礼帽', '高顶礼帽', '高顶帽', '高顶帽']"
68,What type of hat is this gentleman wearing?,"['top', 'top', 'top', 'top', 'top hat', 'top hat', 'top hat', 'top hat', 'tophat', 'tophat']"
69,这个钟看起来像什么字符？,"['米老鼠', '米老鼠', '米老鼠', '米老鼠', '米老鼠', '米老鼠', '鼠标', '鼠标', '瓦力', '瓦力']"
69,What character does this clock look like?,"['mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mickey mouse', 'mouse', 'mouse', 'wall e', 'wall e']"
70,这些树上结的是什么水果？,"['椰子', '椰子', '椰子', '椰子', '椰子', '椰子', '菠萝', '菠萝', '香蕉', '香蕉']"
70,What fruit comes from these trees?,"['coconut', 'coconut', 'coconut', 'coconut', 'coconut', 'coconut', 'pineapples', 'pineapples', 'banana', 'banana']"
71,这里进行的是哪种滑雪？,"['越野', '越野', '越野赛', '越野', '越野', '越野', '越野', '越野', '滑雪', '滑雪']"
71,What type of skiing is being done here?,"['cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'cross country', 'snow skiing', 'snow skiing']"
72,这种动物最著名的是什么？,"['长颈', '长颈', '长颈', '长颈', '长颈', '长颈', '长颈', '长颈', '脖子', '脖子']"
72,What is this animal famously known for?,"['long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'long neck', 'neck', 'neck']"
73,这些动物是哺乳动物还是昆虫？,"['哺乳动物', '哺乳动物', '哺乳动物', '哺乳动物', '哺乳动物', '哺乳动物', '哺乳动物', '哺乳动物', '动物', '动物']"
73,Are these animals mammals or insects?,"['mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'mammals', 'animals', 'animals']"
74,如果天气足够冷，被踩过的区域会发生什么？,"['冻结', '冻结', '冻结', '冻结', '冷冻', '冻结', '它将结冰', '它会结冰', '冰镇的', '冰镇的']"
74,If it gets cold enough what will happen to the area being stepped over?,"['freeze', 'freeze', 'freeze', 'freeze', 'frozen', 'frozen', 'it will freeze over', 'it will freeze over', 'iced', 'iced']"
75,这些动物能长多高？,"['20英尺', '20英尺', '20英尺', '20英尺', '8英尺', '8英尺', '10英尺', '10英尺', '12英尺', '12英尺']"
75,How tall do these animals get?,"['20 feet', '20 feet', '20 feet', '20 feet', '8 feey', '8 feey', '10 feet', '10 feet', '12 ft', '12 ft']"
76,这只猫是什么品种？,"['美国短毛猫', '美国短毛猫', '虎斑猫', '虎斑猫', '玳瑁壳', '玳瑁壳', '虎斑猫', '虎斑猫', '印花布', '印花布']"
76,What is the breed of this cat?,"['american shorthair', 'american shorthair', 'tabby', 'tabby', 'tortoise shell', 'tortoise shell', 'tabbie', 'tabbie', 'calico', 'calico']"
77,这是水果还是蔬菜？,"['蔬菜', '蔬菜', '蔬菜', '蔬菜', '蔬菜', '蔬菜', '蔬菜', '蔬菜', '素食的', '素食的']"
77,Is this fruit or veggies?,"['veggies', 'veggies', 'veggies', 'veggies', 'vegetable', 'vegetable', 'veeggies', 'veeggies', 'veggie', 'veggie']"
78,为什么这么多绿色蔬菜？,"['健康', '健康', '健康', '健康', '做沙拉', '做沙拉', '很多蔬菜都是绿色的', '许多蔬菜是绿色的', '沙拉', '沙拉']"
78,Why so many green vegetables?,"['healthy', 'healthy', 'healthy', 'healthy', 'make salad', 'make salad', 'lots of vegetables are green', 'lots of vegetables are green', 'salad', 'salad']"
79,这种天气现象常常会引起什么不愉快的情绪状态？,"['抑郁症', '抑郁症', '抑郁症', '抑郁症', '震惊', '休克', '惊吓', '惊吓', '恐惧', '恐惧']"
79,What unpleasant emotional state does this weather phenomenon often cause?,"['depression', 'depression', 'depression', 'depression', 'shock', 'shock', 'fright', 'fright', 'fear', 'fear']"
80,桌子上是什么类型的烤箱？,"['烤面包机', '烤面包机', '烤面包机', '烤面包机', '烤面包机', '烤面包机', '烤箱', '烤面包机烤箱', '地球', '几何']"
80,What kind of oven is on the table?,"['toaster', 'toaster', 'toaster', 'toaster', 'toaster', 'toaster', 'toaster oven', 'toaster oven', 'ge', 'ge']"
81,人们是如何使用这个的？,"['帆', '帆', '帆', '航行', '航行', '帆船运动', '帆船运动', '航行', '航行', '航行']"
81,How do people use this?,"['sail', 'sail', 'sail', 'sail', 'sailing', 'sailing', 'sailing', 'sailing', 'to sail', 'to sail']"
82,用来擦脸或吃这顿饭的小布是什么？,"['餐巾纸', '餐巾', '餐巾纸', '餐巾', '餐巾纸', '餐巾', '餐巾', '餐巾', '餐巾', '餐巾纸']"
82,What small cloth is used to wipe the face or eating this meal?,"['napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin', 'napkin']"
83,这辆卡车在运什么？,"['家具', '家具', '家具', '家具', '家具', '家具', '货物', '货物', '货物', '货物']"
83,What is this truck moving?,"['furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'furniture', 'goods', 'goods', 'cargo', 'cargo']"
84,那个月亮处于哪个阶段？,"['一半', '一半', '一半', '一半', '一半', '一半', '半个月亮', '半月', '半月', '半月']"
84,Which phase is that moon in?,"['half', 'half', 'half', 'half', 'half', 'half', 'half moon', 'half moon', 'half moon', 'half moon']"
85,这张床的封面上清楚地展示了哪种动物？,"['鹿', '鹿', '鹿', '鹿', '鹿', '鹿', '麋鹿', '驼鹿', '驼鹿', '驼鹿']"
85,What kind of animal is clearly displayed on the cover of this bed?,"['deer', 'deer', 'deer', 'deer', 'deer', 'deer', 'elk', 'elk', 'moose', 'moose']"
86,什么是马术运动的一种类型？,"['马球', '马球', '马球', '马球', '赛车', '赛车', '赛车', '赛车', '骑行', '骑行']"
86,What is a type of horseback sport?,"['polo', 'polo', 'polo', 'polo', 'racing', 'racing', 'racing', 'racing', 'riding', 'riding']"
87,什么物品可以用来加热这件家具？,"['电热毯', '电热毯', '电热毯', '电热毯', '消隐器', '遮光器', '烘干机', '烘干机', '毯子', '毯子']"
87,What item might be used to warm this item of furniture?,"['electric blanket', 'electric blanket', 'electric blanket', 'electric blanket', 'blanker', 'blanker', 'clothes dryer', 'clothes dryer', 'blanket', 'blanket']"
88,什么填充了气球？,"['他', '他', '他', '他', '他', '他', '他', '他', '他', '他']"
88,What fills the balloons?,"['helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium', 'helium']"
89,这件家具通常是用于公共场所还是私人使用？,"['公共的', '公共', '公共的', '公共的', '公共', '公共的', '公共的', '公共', '公共的', '公共的']"
89,Would this article of furniture typically be for public or private use?,"['public', 'public', 'public', 'public', 'public', 'public', 'public', 'public', 'public', 'public']"
